user_id,month,plan,monthly_price,payment_status,amount_paid,is_active
1,1,basic,9.99,paid,9.99,True
2,1,premium,29.99,paid,29.99,True
3,1,pro,19.99,paid,19.99,True
4,1,pro,19.99,paid,19.99,True
5,1,basic,9.99,paid,9.99,True
6,1,basic,9.99,paid,9.99,True
7,1,basic,9.99,paid,9.99,True
8,1,premium,29.99,paid,29.99,True
9,1,pro,19.99,paid,19.99,True
10,1,pro,19.99,paid,19.99,True
11,1,basic,9.99,paid,9.99,True
12,1,premium,29.99,paid,29.99,True
13,1,pro,19.99,paid,19.99,True
14,1,basic,9.99,paid,9.99,True
15,1,basic,9.99,paid,9.99,True
16,1,basic,9.99,paid,9.99,True
17,1,basic,9.99,paid,9.99,True
18,1,pro,19.99,paid,19.99,True
19,1,basic,9.99,paid,9.99,True
20,1,basic,9.99,paid,9.99,True
21,1,pro,19.99,paid,19.99,True
22,1,basic,9.99,paid,9.99,True
23,1,basic,9.99,paid,9.99,True
24,1,basic,9.99,paid,9.99,True
25,1,basic,9.99,paid,9.99,True
26,1,pro,19.99,paid,19.99,True
27,1,basic,9.99,paid,9.99,True
28,1,pro,19.99,paid,19.99,True
29,1,pro,19.99,paid,19.99,True
30,1,basic,9.99,paid,9.99,True
31,1,pro,19.99,paid,19.99,True
32,1,basic,9.99,paid,9.99,True
33,1,basic,9.99,paid,9.99,True
34,1,premium,29.99,paid,29.99,True
35,1,premium,29.99,paid,29.99,True
36,1,pro,19.99,paid,19.99,True
37,1,basic,9.99,paid,9.99,True
38,1,basic,9.99,paid,9.99,True
39,1,pro,19.99,paid,19.99,True
40,1,basic,9.99,paid,9.99,True
41,1,basic,9.99,paid,9.99,True
42,1,basic,9.99,paid,9.99,True
43,1,basic,9.99,paid,9.99,True
44,1,premium,29.99,paid,29.99,True
45,1,basic,9.99,paid,9.99,True
46,1,pro,19.99,paid,19.99,True
47,1,basic,9.99,paid,9.99,True
48,1,pro,19.99,paid,19.99,True
49,1,pro,19.99,paid,19.99,True
50,1,basic,9.99,paid,9.99,True
51,1,premium,29.99,paid,29.99,True
52,1,pro,19.99,paid,19.99,True
53,1,premium,29.99,paid,29.99,True
54,1,premium,29.99,paid,29.99,True
55,1,pro,19.99,paid,19.99,True
56,1,premium,29.99,paid,29.99,True
57,1,basic,9.99,paid,9.99,True
58,1,basic,9.99,paid,9.99,True
